ARREST_PRECINCT,new_arrest_date,count
110,2020/12,200
73,2020/12,248
50,2020/08,64
67,2020/08,198
52,2020/04,187
19,2020/02,173
78,2021/11,108
68,2018/11,180
50,2018/11,92
73,2018/08,420
24,2018/07,144
44,2018/12,545
32,2006/09,514
18,2006/09,330
62,2006/07,215
84,2006/05,318
18,2006/05,384
47,2006/04,506
88,2006/04,266
114,2006/03,620
113,2018/03,487
41,2017/09,422
25,2017/05,574
68,2017/01,233
76,2016/10,217
41,2016/08,506
71,2016/07,317
40,2016/05,982
28,2016/04,353
73,2016/02,671
25,2015/10,632
24,2015/08,274
60,2015/05,424
73,2015/02,768
68,2014/08,186
84,2014/03,430
34,2013/11,477
26,2013/09,295
42,2013/02,508
28,2012/12,340
23,2012/08,568
110,2012/07,537
114,2011/07,404
43,2011/04,1116
48,2011/03,596
115,2011/01,531
115,2010/09,633
17,2010/06,158
41,2009/12,562
60,2009/11,347
14,2009/10,1305
14,2009/06,1145
30,2009/02,423
50,2008/11,237
108,2008/06,211
32,2007/12,448
5,2007/10,467
63,2007/09,247
10,2007/08,242
75,2017/02,625
66,2012/08,178
71,2008/05,423
33,2007/10,657
110,2019/08,273
26,2018/09,142
70,2018/03,386
114,2017/03,459
110,2016/12,317
112,2015/08,209
114,2012/12,441
68,2011/07,178
61,2009/06,299
48,2008/08,601
102,2008/02,355
50,2016/11,143
66,2013/10,168
26,2020/09,87
22,2018/10,10
7,2020/10,115
42,2019/02,336
88,2021/08,75
20,2021/07,92
18,2006/08,426
94,2006/04,119
63,2018/05,167
18,2017/08,427
70,2017/04,359
72,2017/05,336
25,2017/03,567
1,2016/10,354
77,2016/09,314
60,2016/06,419
70,2016/04,339
113,2016/03,609
109,2016/02,310
52,2016/01,587
19,2015/12,249
101,2015/08,305
78,2015/07,186
88,2015/03,217
83,2015/02,355
7,2015/02,269
102,2014/11,291
41,2014/12,403
9,2014/06,319
62,2014/02,194
77,2014/01,522
71,2013/07,448
52,2013/05,819
42,2013/03,450
73,2012/07,1068
81,2011/12,456
66,2011/09,148
33,2011/04,530
30,2009/12,292
14,2009/04,1220
72,2009/01,369
111,2008/10,204
20,2007/11,188
61,2007/09,273
79,2007/04,687
79,2007/01,729
70,2006/09,504
44,2016/01,763
79,2015/06,434
43,2012/05,844
43,2007/06,1052
71,2007/06,447
84,2019/03,388
69,2006/07,213
44,2015/12,684
76,2015/01,120
50,2012/02,205
10,2011/04,274
70,2019/12,208
6,2021/05,114
66,2016/10,173
88,2007/02,204
123,2020/04,55
106,2021/03,187
17,2015/02,126
62,2020/02,99
107,2019/09,169
106,2019/12,177
43,2021/09,320
104,2021/09,173
110,2021/08,203
100,2021/08,68
121,2021/06,204
113,2021/06,285
14,2021/04,280
43,2021/03,334
88,2021/01,72
102,2006/08,349
60,2018/09,308
84,2018/08,343
48,2018/09,325
111,2018/08,101
81,2006/07,326
94,2018/04,116
78,2017/09,148
121,2017/06,257
24,2016/11,180
44,2016/09,661
61,2015/11,223
120,2015/09,328
101,2014/09,366
24,2014/09,200
76,2014/07,168
71,2013/09,343
123,2013/06,129
90,2013/05,398
70,2013/02,389
120,2012/11,452
45,2012/07,294
6,2011/11,414
20,2011/11,181
22,2011/04,77
84,2010/08,418
41,2010/07,614
5,2010/06,530
28,2010/03,534
32,2010/03,639
40,2010/02,936
110,2010/01,560
44,2009/08,1195
46,2009/07,1029
62,2009/01,248
52,2008/10,748
62,2008/10,242
9,2007/09,350
68,2006/10,150
107,2006/10,255
50,2006/08,132
69,2021/05,150
115,2016/02,438
63,2011/01,152
14,2008/01,1255
84,2007/06,365
19,2007/05,285
105,2007/04,396
103,2007/04,613
77,2019/08,220
90,2019/10,243
81,2019/11,122
25,2020/03,291
115,2021/12,197
52,2021/07,294
121,2021/05,152
63,2017/07,160
111,2015/11,138
109,2007/02,412
40,2017/10,698
108,2020/08,80
84,2017/09,346
20,2006/12,147
22,2008/12,27
76,2021/11,48
113,2020/12,244
13,2018/01,319
120,2019/01,413
101,2019/03,189
108,2019/04,190
110,2020/04,133
42,2020/04,164
46,2021/11,287
48,2021/01,242
61,2018/11,159
24,2018/02,185
69,2006/09,252
120,2006/07,649
23,2006/06,476
23,2006/05,560
73,2006/04,817
105,2006/03,493
25,2006/01,664
47,2006/02,479
121,2018/03,214
79,2018/03,313
41,2017/12,287
104,2017/11,245
23,2017/12,295
113,2017/10,550
42,2017/09,462
104,2017/02,211
24,2015/09,218
111,2015/05,103
49,2015/02,248
13,2015/01,352
60,2014/11,311
42,2014/09,501
100,2014/07,247
88,2014/04,257
108,2013/07,270
72,2012/12,244
13,2012/09,464
25,2012/06,741
18,2012/03,438
63,2012/03,226
67,2011/11,496
52,2011/10,864
79,2011/06,649
115,2011/02,602
9,2010/11,361
102,2010/10,431
70,2010/03,627
69,2010/03,301
33,2010/03,511
120,2010/02,596
69,2010/01,315
104,2009/08,398
32,2009/03,641
110,2008/10,509
26,2008/10,323
120,2008/09,866
20,2008/09,159
67,2008/03,554
44,2007/08,1280
10,2007/05,231
17,2006/11,158
69,2013/01,267
105,2011/02,323
41,2011/01,732
41,2007/07,542
111,2020/08,50
81,2021/08,125
48,2021/04,178
105,2018/10,256
24,2017/03,234
68,2016/03,230
49,2014/11,307
111,2013/01,128
101,2008/09,316
10,2007/04,325
26,2009/01,287
68,2007/10,213
10,2021/04,102
72,2015/08,276
123,2009/06,117
63,2006/12,194
24,2019/12,103
30,2020/09,96
88,2021/12,86
23,2020/04,98
100,2006/02,133
104,2020/02,183
72,2021/10,151
106,2018/08,250
24,2018/05,131
108,2006/07,249
107,2006/05,367
76,2006/03,257
106,2017/11,233
79,2017/05,317
115,2017/05,455
105,2016/11,312
33,2016/01,297
19,2016/01,250
79,2015/10,466
48,2015/08,577
110,2015/08,469
6,2015/04,380
110,2014/05,539
50,2014/05,220
7,2013/12,247
62,2013/10,167
83,2013/10,482
47,2013/08,584
33,2013/04,474
43,2012/12,663
14,2012/11,942
9,2012/07,427
34,2011/07,558
100,2011/06,207
81,2010/09,518
77,2010/03,637
107,2010/02,308
7,2010/02,291
23,2009/06,521
30,2009/04,449
25,2009/02,828
14,2009/01,1505
26,2008/08,288
105,2008/02,311
42,2007/09,491
28,2007/09,436
19,2007/08,328
13,2007/08,354
30,2007/02,431
1,2006/10,342
25,2015/02,614
47,2011/01,556
44,2009/03,1243
61,2009/01,329
48,2021/10,223
113,2021/07,277
121,2018/11,191
9,2018/02,238
50,2006/04,149
63,2017/12,149
111,2008/01,155
45,2013/07,263
88,2019/12,98
63,2014/03,199
17,2006/12,138
123,2008/05,123
112,2010/08,195
66,2009/12,165
63,2010/04,164
20,2019/11,81
22,2006/07,46
20,2019/10,143
101,2019/12,167
43,2019/08,331
81,2019/12,109
103,2020/04,177
41,2020/02,232
13,2021/09,211
18,2021/03,199
71,2018/11,234
24,2018/08,140
24,2018/12,138
25,2006/06,590
20,2006/04,179
102,2006/01,253
108,2018/05,180
9,2017/10,267
34,2017/06,288
111,2016/12,133
90,2016/11,277
120,2016/05,434
68,2015/11,173
9,2015/02,326
115,2014/11,511
71,2014/09,467
50,2014/09,166
49,2014/08,333
6,2014/06,402
90,2014/02,337
25,2013/12,656
7,2013/11,284
90,2013/03,412
17,2012/12,134
34,2012/03,571
33,2011/12,334
120,2011/10,722
26,2011/10,245
104,2011/06,405
110,2011/01,497
115,2010/07,718
76,2010/03,192
111,2009/10,146
108,2009/10,233
81,2009/03,463
70,2008/02,513
111,2007/11,155
88,2007/10,248
109,2006/12,386
71,2006/10,423
42,2015/02,422
112,2013/01,247
114,2011/01,479
123,2008/06,141
52,2021/02,207
6,2017/08,319
84,2014/09,366
114,2013/08,519
48,2019/10,287
10,2010/11,220
24,2017/07,176
50,2010/11,175
76,2021/03,72
94,2020/08,46
72,2019/05,285
100,2019/01,133
24,2019/08,112
73,2020/04,244
70,2021/10,188
110,2021/05,165
44,2016/10,693
113,2021/05,250
100,2021/03,70
69,2021/02,105
67,2021/02,229
105,2016/04,328
50,2018/09,106
106,2018/09,232
20,2018/06,131
79,2006/04,584
121,2017/08,264
46,2017/08,387
107,2017/02,277
114,2016/10,506
47,2015/11,404
109,2015/10,389
7,2015/07,266
120,2015/04,326
71,2015/02,369
114,2015/02,450
79,2014/11,456
104,2014/10,417
19,2014/09,236
25,2014/08,767
71,2014/03,462
105,2014/01,408
42,2013/11,547
63,2013/02,169
78,2013/02,171
28,2012/10,511
48,2012/10,530
10,2012/08,306
33,2012/07,430
19,2012/01,296
71,2011/08,455
77,2011/05,546
24,2010/11,209
1,2010/03,472
122,2010/02,283
109,2009/10,382
61,2009/09,246
122,2009/07,276
46,2009/03,1215
5,2009/01,459
33,2008/12,436
114,2008/11,427
109,2008/10,436
101,2008/06,415
42,2008/05,565
9,2008/02,334
24,2008/01,284
60,2007/09,390
90,2007/09,271
60,2007/04,455
42,2007/04,430
107,2006/03,386
45,2017/02,181
78,2016/02,219
34,2006/10,510
20,2018/05,160
83,2018/11,228
88,2016/05,215
33,2016/03,373
108,2015/11,185
6,2015/05,316
68,2013/10,168
111,2007/03,181
78,2006/10,149
123,2017/03,149
45,2014/08,244
108,2010/07,193
122,2013/10,232
26,2021/09,76
111,2019/10,59
22,2011/12,70
20,2020/05,56
100,2021/09,62
22,2020/06,2
76,2020/09,56
78,2020/07,30
107,2019/08,170
14,2019/06,513
106,2021/04,129
100,2021/04,64
61,2021/04,110
32,2018/07,269
70,2018/12,312
106,2018/12,194
81,2006/08,338
28,2006/08,500
30,2017/11,140
101,2017/06,221
110,2017/03,337
122,2017/03,173
115,2016/11,377
101,2016/08,243
13,2015/09,549
18,2015/02,424
9,2014/07,368
9,2014/05,374
42,2014/05,597
40,2012/10,950
17,2012/09,173
67,2012/03,733
26,2012/01,298
75,2011/12,1007
34,2011/11,484
47,2011/05,600
44,2011/05,1258
79,2011/03,682
109,2010/11,377
26,2010/09,264
46,2010/08,873
40,2010/07,963
26,2010/02,269
9,2009/12,265
1,2009/11,413
33,2009/06,552
78,2009/01,137
111,2009/01,191
43,2008/12,757
62,2008/11,250
25,2008/10,774
112,2008/03,223
40,2007/06,896
47,2007/01,670
109,2013/01,442
34,2012/05,554
110,2010/11,530
41,2009/06,601
77,2008/03,631
60,2008/01,369
24,2007/05,309
62,2020/10,125
60,2018/11,272
1,2006/02,333
94,2017/04,134
69,2016/02,215
112,2012/07,188
50,2010/08,134
18,2010/01,444
20,2009/10,191
62,2008/08,259
113,2006/08,529
72,2019/12,193
115,2015/01,421
30,2020/01,116
63,2017/02,164
22,2011/08,62
68,2008/07,207
101,2021/04,126
68,2013/06,185
14,2020/10,344
66,2019/05,129
83,2019/09,235
28,2019/09,163
42,2020/01,281
73,2021/10,247
50,2021/08,105
68,2021/09,99
77,2021/07,180
