ZIP_CODE,DATE,AFFORDABLE_UNITS
10001,2016/5,174
10001,2017/4,1460
10001,2018/2,19
10001,2018/5,169
10001,2019/6,45
10001,2020/4,37
10001,2020/7,17
10002,2014/6,645
10002,2015/2,129
10002,2016/3,49
10002,2017/10,100
10002,2017/6,128
10002,2018/10,204
10002,2018/12,98
10002,2018/7,115
10002,2019/10,1590
10002,2019/12,93
10002,2020/6,1109
10002,2020/9,130
10002,2021/7,20
10003,2018/3,90
10003,2018/4,18
10009,2014/3,27
10009,2015/12,3908
10009,2016/10,16
10009,2016/12,727
10009,2016/4,19
10009,2017/11,26
10009,2017/6,136
10009,2018/10,78
10009,2019/11,30
10009,2019/2,32
10009,2020/10,243
10009,2020/2,137
10009,2020/3,23
10009,2020/6,21
10009,2020/9,45
10009,2021/9,33
10010,2015/12,1103
10010,2017/2,34
10010,2017/3,22
10010,2017/5,58
10010,2019/10,329
10010,2020/12,327
10010,2021/3,50
10011,2017/4,729
10011,2018/11,160
10011,2021/11,18
10012,2015/12,175
10012,2021/11,152
10013,2016/10,22
10013,2017/8,41
10014,2017/7,29
10014,2019/1,7
10016,2016/4,23
10016,2017/11,11
10016,2018/10,18
10016,2018/3,415
10016,2018/7,160
10017,2019/6,109
10017,2021/3,16
10018,2017/7,120
10018,2019/6,46
10018,2019/8,63
10019,2017/10,294
10019,2017/12,109
10019,2018/11,37
10019,2018/12,258
10019,2018/6,79
10019,2019/10,216
10019,2019/6,278
10019,2019/9,41
10019,2020/5,28
10021,2020/8,10
10022,2017/11,20
10022,2019/5,23
10023,2017/12,116
10023,2018/1,50
10023,2019/10,156
10023,2020/11,111
10024,2018/6,40
10024,2019/6,168
10025,2014/1,10
10025,2014/3,64
10025,2016/2,135
10025,2018/10,49
10025,2018/11,126
10025,2018/9,87
10025,2020/2,234
10025,2021/5,81
10025,2021/9,199
10026,2014/10,59
10026,2015/4,10
10026,2016/12,16
10026,2016/6,53
10026,2016/7,4
10026,2017/10,110
10026,2017/11,80
10026,2017/12,35
10026,2017/3,18
10026,2018/10,76
10026,2018/3,208
10026,2018/4,35
10026,2018/6,196
10026,2021/3,136
10026,2021/7,22
10027,2014/11,30
10027,2014/6,171
10027,2016/12,81
10027,2016/7,163
