POLICE_PRECINCT,DATE,AFFORDABLE_UNITS
1,2015/12,175
1,2016/10,22
1,2017/8,41
1,2019/1,30
1,2019/3,97
1,2021/11,152
10,2016/5,174
10,2017/4,2189
10,2017/7,120
10,2018/11,160
10,2018/2,19
10,2018/5,169
10,2019/6,91
10,2019/8,63
10,2020/4,37
10,2020/7,17
10,2021/11,18
100,2016/12,1093
100,2016/4,32
100,2017/3,64
100,2019/6,343
100,2020/5,18
100,2021/6,1149
101,2017/8,101
101,2018/8,154
101,2019/11,127
102,2021/3,14
102,2021/8,1
103,2016/5,2
103,2016/6,53
103,2018/3,89
103,2018/5,1
103,2018/9,380
103,2019/4,2
103,2021/12,539
104,2020/9,7
104,2021/5,72
105,2016/5,8
105,2017/11,42
105,2018/3,3
106,2021/11,1
107,2018/3,1
107,2019/12,6
107,2019/4,21
107,2020/11,5
107,2020/6,12
107,2021/12,200
108,2016/11,2
108,2016/9,6
108,2017/1,195
108,2017/6,978
108,2019/10,12
108,2019/4,35
108,2019/5,34
108,2020/2,3
108,2020/4,33
108,2021/11,535
108,2021/12,48
108,2021/3,23
108,2021/4,186
109,2017/6,54
109,2019/2,3
109,2020/3,232
110,2014/6,151
110,2018/8,68
110,2019/10,2
110,2019/11,3
110,2020/6,3
110,2021/1,3
111,2018/3,1
113,2016/12,54
113,2016/5,1
113,2017/11,53
113,2018/3,13
113,2018/5,2
113,2018/6,85
113,2018/8,67
113,2020/10,159
113,2021/9,2
113,2022/1,1
114,2017/1,84
114,2017/10,6
114,2017/12,444
114,2018/7,6
114,2019/12,81
114,2019/8,29
114,2020/2,4
114,2021/1,11
114,2021/12,10
114,2021/2,3
114,2021/7,341
114,2022/2,103
115,2017/6,69
115,2018/3,1
115,2019/1,6
115,2020/2,3
120,2016/12,178
120,2017/10,116
120,2017/12,67
120,2018/1,364
120,2018/4,454
120,2018/5,74
120,2020/4,122
120,2020/5,6
120,2020/9,3
120,2021/12,2
120,2021/3,112
120,2021/9,1
121,2016/12,536
121,2016/5,1
121,2018/8,161
121,2021/10,1
121,2021/11,37
13,2015/12,1103
13,2017/2,34
13,2017/3,22
13,2017/5,58
13,2019/10,329
13,2020/12,327
13,2021/3,50
17,2016/4,23
17,2017/11,31
17,2018/10,18
17,2018/3,415
17,2018/7,160
17,2019/5,23
17,2019/6,109
17,2021/3,16
18,2016/10,235
18,2017/10,294
18,2017/12,109
18,2017/7,62
18,2017/8,20
18,2017/9,59
18,2018/11,37
18,2018/12,258
18,2018/6,79
18,2018/9,46
18,2019/10,216
18,2019/6,278
18,2019/9,41
18,2020/5,28
19,2015/11,92
19,2018/6,652
19,2019/12,21
19,2019/5,17
19,2019/8,28
19,2020/8,10
20,2017/12,116
20,2018/1,50
20,2018/6,40
20,2019/10,156
20,2019/6,168
20,2020/11,111
23,2015/6,108
23,2016/11,3
23,2017/11,203
23,2018/1,235
23,2018/12,375
23,2018/6,21
23,2018/8,5
23,2018/9,446
23,2019/10,972
23,2019/4,28
23,2019/6,350
23,2020/2,4
23,2020/6,153
23,2021/12,60
23,2021/2,5
23,2022/2,400
24,2014/1,10
24,2014/3,64
24,2016/2,135
24,2018/10,49
24,2018/11,126
24,2018/9,87
24,2020/2,234
24,2021/5,81
24,2021/9,199
25,2014/10,131
25,2015/6,50
25,2016/1,976
25,2016/12,155
25,2017/10,7
25,2017/6,272
25,2017/9,20
25,2018/1,625
25,2018/10,42
25,2018/12,131
25,2018/2,138
25,2018/4,10
25,2018/5,2
25,2018/7,261
25,2018/8,179
25,2019/10,287
25,2019/4,85
25,2019/6,665
25,2019/7,229
25,2019/9,5
25,2020/3,3
25,2020/6,4
25,2020/8,3
25,2020/9,4
25,2021/11,54
25,2021/7,10
25,2022/2,297
26,2014/11,30
26,2014/6,171
26,2016/12,81
26,2016/7,163
26,2017/11,25
26,2017/12,2
26,2018/10,42
26,2018/3,108
26,2018/7,149
26,2018/9,92
26,2019/10,6
26,2019/12,7
26,2019/6,94
26,2020/11,75
26,2020/12,117
26,2021/2,3
26,2021/6,74
26,2022/4,37
28,2014/10,59
28,2015/4,10
28,2016/12,16
28,2016/6,53
28,2016/7,4
28,2017/10,110
28,2017/11,80
28,2017/12,35
28,2017/3,18
28,2018/10,76
28,2018/3,208
28,2018/4,35
28,2018/6,196
28,2021/3,136
28,2021/7,22
30,2014/6,30
30,2016/10,20
30,2016/11,79
30,2016/3,38
30,2016/7,30
30,2017/12,35
30,2017/6,57
30,2017/7,58
30,2017/8,15
30,2018/10,16
30,2018/12,7
30,2018/3,146
30,2018/7,83
30,2019/11,39
30,2019/12,5
30,2019/6,16
30,2021/3,8
30,2021/6,161
30,2021/7,22
32,2014/10,88
32,2014/6,105
32,2015/6,92
32,2016/12,42
32,2016/3,216
32,2016/6,205
32,2016/7,24
32,2017/4,54
32,2017/5,69
32,2017/7,117
32,2018/10,45
32,2018/5,12
32,2018/7,111
32,2019/12,112
32,2019/4,54
32,2019/6,148
32,2020/1,27
32,2020/12,18
32,2020/2,20
32,2020/8,154
32,2021/7,139
33,2014/10,110
33,2017/12,13
33,2017/8,21
33,2019/12,183
33,2019/5,12
33,2019/6,191
33,2020/2,4
33,2020/6,2
34,2015/8,6
34,2017/5,26
34,2018/10,117
34,2018/7,95
34,2019/5,21
34,2019/6,229
34,2021/6,22
40,2015/12,11
40,2015/6,20
40,2016/12,273
40,2016/5,150
40,2017/10,266
40,2017/2,99
40,2017/4,263
40,2017/7,10
40,2017/9,46
40,2018/1,52
40,2018/12,175
40,2018/8,171
40,2019/10,8
40,2019/12,159
40,2019/4,13
40,2019/6,161
40,2019/7,5
40,2019/8,194
40,2020/11,25
40,2020/12,95
40,2020/2,107
40,2020/6,170
40,2020/8,6
40,2020/9,9
40,2021/10,83
40,2021/4,21
40,2021/6,114
40,2021/8,152
40,2022/4,175
41,2014/12,160
41,2015/12,31
41,2015/6,117
41,2016/4,49
41,2016/5,29
41,2016/8,102
41,2017/1,49
41,2017/11,218
41,2017/12,245
41,2017/3,23
41,2017/6,71
41,2017/7,54
41,2018/1,11
41,2018/6,131
41,2018/7,8
41,2018/8,93
41,2018/9,13
41,2019/1,120
41,2019/10,6
41,2019/11,4
41,2019/2,3
41,2019/3,109
41,2019/6,231
41,2019/7,83
41,2019/8,21
41,2019/9,66
41,2020/11,161
41,2020/2,9
41,2020/5,215
41,2020/7,3
41,2020/9,4
41,2021/1,89
41,2021/10,300
41,2021/4,109
41,2021/6,127
42,2014/5,26
42,2014/6,243
42,2016/10,80
42,2016/11,135
42,2016/5,20
42,2017/10,90
42,2017/2,31
42,2017/5,173
42,2017/6,165
42,2017/7,128
42,2018/1,181
42,2018/10,181
42,2018/12,402
42,2018/4,6
42,2018/7,13
42,2018/9,10
42,2019/12,218
42,2020/12,199
42,2021/1,30
42,2021/12,9
42,2021/5,78
42,2021/6,366
42,2022/3,319
43,2016/12,233
43,2016/7,467
43,2017/10,323
43,2017/6,948
43,2018/6,900
43,2018/8,43
43,2019/5,336
43,2019/7,3
43,2019/9,223
43,2020/2,212
43,2021/2,314
43,2021/9,1
44,2014/6,201
44,2015/12,815
44,2016/12,414
44,2016/5,8
44,2017/1,43
44,2017/10,630
44,2017/11,60
44,2017/12,45
44,2017/3,58
44,2017/4,74
44,2017/6,344
44,2017/9,176
44,2018/1,48
44,2018/11,154
44,2018/12,75
44,2018/2,68
44,2018/4,102
44,2018/5,216
44,2018/6,193
44,2018/7,279
44,2018/8,1140
44,2019/1,4
44,2019/10,10
44,2019/12,305
44,2019/2,270
44,2019/4,96
44,2019/5,180
44,2019/6,649
44,2019/7,34
44,2019/8,66
44,2019/9,65
44,2020/10,115
44,2020/2,160
44,2020/5,25
44,2021/1,52
44,2021/10,343
44,2021/4,122
44,2021/6,86
44,2021/8,38
44,2022/3,107
45,2019/6,24
46,2014/6,44
46,2015/10,85
46,2015/6,48
46,2016/5,42
46,2016/6,82
46,2016/8,146
46,2017/1,37
46,2017/10,207
46,2018/1,89
46,2018/12,94
46,2018/2,7
46,2018/6,183
46,2018/8,18
46,2018/9,60
46,2019/1,59
46,2019/10,4
46,2019/2,114
46,2019/5,149
46,2019/6,102
46,2019/8,52
46,2020/10,130
46,2021/1,8
46,2021/11,83
46,2021/9,489
47,2018/11,2
47,2019/6,102
47,2021/12,1
47,2021/7,90
47,2021/8,80
48,2014/10,67
48,2014/11,70
48,2014/12,91
48,2014/5,27
48,2014/6,671
48,2015/10,11
48,2015/4,219
48,2015/6,11
48,2016/11,152
48,2016/12,60
48,2016/2,68
48,2016/6,32
48,2017/10,221
48,2017/11,55
48,2017/12,25
48,2017/3,20
48,2017/6,88
48,2017/7,49
48,2017/8,7
48,2017/9,613
48,2018/10,61
48,2018/11,3
48,2018/12,190
48,2018/2,21
48,2018/3,18
48,2018/4,9
48,2018/6,197
48,2018/7,171
48,2018/8,314
48,2019/2,106
48,2019/3,314
48,2019/5,73
48,2019/6,161
48,2020/1,24
48,2020/12,242
48,2020/3,7
48,2020/9,104
48,2021/12,12
48,2021/2,190
48,2021/3,9
48,2021/5,256
48,2021/6,177
48,2021/8,114
48,2021/9,26
49,2018/11,5
49,2018/12,7
49,2019/10,3
49,2019/12,44
49,2019/5,49
49,2019/6,135
49,2019/9,2
49,2020/10,206
49,2020/2,3
49,2020/5,4
5,2019/4,7
5,2020/2,12
5,2021/2,3
5,2021/4,7
50,2014/2,317
50,2016/2,94
50,2016/4,86
50,2016/5,18
50,2018/10,123
50,2018/3,9
50,2018/7,29
50,2019/1,4
50,2019/10,86
50,2019/11,36
50,2019/3,73
50,2019/4,118
50,2019/5,15
50,2019/6,305
50,2020/1,59
50,2020/10,3
50,2020/3,5
50,2020/8,292
50,2021/2,72
50,2021/3,143
50,2021/5,3
52,2015/6,20
52,2016/5,46
52,2017/1,9
52,2017/10,54
52,2017/5,30
52,2017/6,66
52,2017/7,0
52,2018/10,94
52,2018/2,136
52,2018/4,119
52,2018/5,30
52,2019/1,136
52,2019/12,352
52,2019/5,37
52,2019/6,42
52,2019/8,43
52,2020/12,68
52,2020/2,189
52,2021/12,118
52,2021/2,53
6,2017/7,29
6,2019/1,7
60,2016/10,147
