ARREST_PRECINCT,new_arrest_date,count
115,2020 06,156
61,2019 01,178
105,2020 04,133
113,2021 11,310
70,2021 10,188
14,2021 06,369
60,2021 06,263
9,2021 02,103
6,2021 02,67
69,2021 01,88
79,2018 06,310
70,2018 06,319
46,2018 12,460
6,2018 12,189
66,2006 08,160
109,2006 02,445
73,2006 03,853
112,2017 05,122
115,2017 04,480
111,2017 04,130
68,2016 07,187
13,2016 04,376
49,2016 03,286
25,2016 04,559
103,2014 10,924
25,2014 10,794
32,2014 09,447
104,2014 09,350
60,2014 09,436
48,2014 08,554
28,2014 08,488
90,2014 03,369
24,2013 08,224
18,2013 06,433
75,2013 05,1461
10,2012 09,254
69,2012 09,214
5,2012 08,553
6,2012 05,365
120,2012 04,695
47,2012 01,518
83,2011 12,559
103,2011 08,676
26,2011 06,308
13,2011 05,519
14,2010 06,1207
120,2010 05,792
90,2010 02,309
111,2009 08,152
14,2009 06,1145
69,2009 01,200
5,2009 02,418
112,2008 11,170
94,2008 09,141
88,2008 01,273
88,2007 09,255
32,2007 04,494
33,2013 01,501
107,2011 01,249
115,2020 10,239
68,2020 01,135
34,2021 07,153
32,2021 05,142
121,2018 10,257
78,2018 08,138
114,2018 12,304
26,2006 03,252
112,2013 10,219
26,2007 08,269
66,2019 11,96
103,2018 04,365
45,2019 05,190
113,2021 07,277
33,2021 01,186
107,2018 07,159
94,2017 04,134
62,2013 10,167
104,2019 05,183
78,2020 01,101
106,2021 12,138
19,2021 04,110
72,2019 10,234
112,2020 03,110
40,2021 09,382
6,2021 09,153
66,2021 09,106
7,2021 10,181
18,2021 06,209
114,2018 07,357
34,2006 04,426
25,2006 04,630
10,2006 02,294
43,2006 01,871
7,2006 02,256
104,2017 11,245
42,2017 06,389
73,2017 03,485
6,2016 12,227
41,2016 11,380
76,2016 07,203
34,2016 06,382
66,2016 05,155
10,2016 05,238
84,2016 01,397
73,2016 01,627
81,2015 11,276
32,2015 04,467
25,2015 01,533
44,2014 12,538
50,2014 10,194
107,2014 09,234
49,2014 02,383
43,2013 12,534
40,2012 12,859
108,2013 01,182
22,2012 12,37
49,2012 08,369
103,2012 07,711
17,2011 06,186
5,2010 12,505
115,2011 01,531
50,2010 01,216
90,2009 06,325
17,2008 10,164
110,2008 10,509
72,2008 04,351
30,2007 10,462
68,2007 09,202
10,2006 12,252
69,2006 11,205
111,2006 10,204
114,2020 05,236
120,2020 09,209
75,2021 11,346
60,2013 04,372
68,2012 08,196
108,2012 07,176
111,2010 09,159
108,2007 01,340
30,2011 03,451
114,2010 03,500
30,2007 05,416
