POLICE_PRECINCT,DATE,AFFORDABLE_UNITS_SUM
1,2015/12,175
1,2016/10,197
1,2017/8,238
1,2019/1,268
1,2019/3,365
1,2021/11,517
10,2016/5,174
10,2017/4,2363
10,2017/7,2483
10,2018/11,2643
10,2018/2,2662
10,2018/5,2831
10,2019/6,2922
10,2019/8,2985
10,2020/4,3022
10,2020/7,3039
10,2021/11,3057
100,2016/12,1093
100,2016/4,1125
100,2017/3,1189
100,2019/6,1532
100,2020/5,1550
100,2021/6,2699
101,2017/8,101
101,2018/8,255
101,2019/11,382
102,2021/3,14
102,2021/8,15
103,2016/5,2
103,2016/6,55
103,2018/3,144
103,2018/5,145
103,2018/9,525
103,2019/4,527
103,2021/12,1066
104,2020/9,7
104,2021/5,79
105,2016/5,8
105,2017/11,50
105,2018/3,53
106,2021/11,1
107,2018/3,1
107,2019/12,7
107,2019/4,28
107,2020/11,33
107,2020/6,45
107,2021/12,245
108,2016/11,2
108,2016/9,8
108,2017/1,203
108,2017/6,1181
108,2019/10,1193
108,2019/4,1228
108,2019/5,1262
108,2020/2,1265
108,2020/4,1298
108,2021/11,1833
108,2021/12,1881
108,2021/3,1904
108,2021/4,2090
109,2017/6,54
109,2019/2,57
109,2020/3,289
110,2014/6,151
110,2018/8,219
110,2019/10,221
110,2019/11,224
110,2020/6,227
110,2021/1,230
111,2018/3,1
113,2016/12,54
113,2016/5,55
113,2017/11,108
113,2018/3,121
113,2018/5,123
113,2018/6,208
113,2018/8,275
113,2020/10,434
113,2021/9,436
113,2022/1,437
114,2017/1,84
114,2017/10,90
114,2017/12,534
114,2018/7,540
114,2019/12,621
114,2019/8,650
114,2020/2,654
114,2021/1,665
114,2021/12,675
114,2021/2,678
114,2021/7,1019
114,2022/2,1122
115,2017/6,69
115,2018/3,70
115,2019/1,76
115,2020/2,79
120,2016/12,178
120,2017/10,294
120,2017/12,361
120,2018/1,725
120,2018/4,1179
120,2018/5,1253
120,2020/4,1375
120,2020/5,1381
120,2020/9,1384
120,2021/12,1386
120,2021/3,1498
120,2021/9,1499
121,2016/12,536
121,2016/5,537
121,2018/8,698
121,2021/10,699
121,2021/11,736
13,2015/12,1103
13,2017/2,1137
13,2017/3,1159
13,2017/5,1217
13,2019/10,1546
13,2020/12,1873
13,2021/3,1923
17,2016/4,23
17,2017/11,54
17,2018/10,72
17,2018/3,487
17,2018/7,647
17,2019/5,670
17,2019/6,779
17,2021/3,795
18,2016/10,235
18,2017/10,529
18,2017/12,638
18,2017/7,700
18,2017/8,720
18,2017/9,779
18,2018/11,816
18,2018/12,1074
18,2018/6,1153
18,2018/9,1199
18,2019/10,1415
18,2019/6,1693
18,2019/9,1734
18,2020/5,1762
19,2015/11,92
19,2018/6,744
19,2019/12,765
19,2019/5,782
19,2019/8,810
19,2020/8,820
20,2017/12,116
20,2018/1,166
20,2018/6,206
20,2019/10,362
20,2019/6,530
20,2020/11,641
23,2015/6,108
23,2016/11,111
23,2017/11,314
23,2018/1,549
23,2018/12,924
23,2018/6,945
23,2018/8,950
23,2018/9,1396
23,2019/10,2368
23,2019/4,2396
23,2019/6,2746
23,2020/2,2750
23,2020/6,2903
23,2021/12,2963
23,2021/2,2968
23,2022/2,3368
24,2014/1,10
24,2014/3,74
24,2016/2,209
24,2018/10,258
24,2018/11,384
24,2018/9,471
24,2020/2,705
24,2021/5,786
24,2021/9,985
25,2014/10,131
25,2015/6,181
25,2016/1,1157
25,2016/12,1312
25,2017/10,1319
25,2017/6,1591
25,2017/9,1611
25,2018/1,2236
25,2018/10,2278
25,2018/12,2409
25,2018/2,2547
25,2018/4,2557
25,2018/5,2559
25,2018/7,2820
25,2018/8,2999
25,2019/10,3286
25,2019/4,3371
25,2019/6,4036
25,2019/7,4265
25,2019/9,4270
25,2020/3,4273
25,2020/6,4277
25,2020/8,4280
25,2020/9,4284
25,2021/11,4338
25,2021/7,4348
25,2022/2,4645
26,2014/11,30
26,2014/6,201
26,2016/12,282
26,2016/7,445
26,2017/11,470
26,2017/12,472
26,2018/10,514
26,2018/3,622
26,2018/7,771
26,2018/9,863
26,2019/10,869
26,2019/12,876
26,2019/6,970
26,2020/11,1045
26,2020/12,1162
26,2021/2,1165
26,2021/6,1239
26,2022/4,1276
28,2014/10,59
28,2015/4,69
28,2016/12,85
28,2016/6,138
28,2016/7,142
28,2017/10,252
28,2017/11,332
28,2017/12,367
28,2017/3,385
28,2018/10,461
28,2018/3,669
28,2018/4,704
28,2018/6,900
28,2021/3,1036
28,2021/7,1058
30,2014/6,30
30,2016/10,50
30,2016/11,129
30,2016/3,167
30,2016/7,197
30,2017/12,232
30,2017/6,289
30,2017/7,347
30,2017/8,362
30,2018/10,378
30,2018/12,385
30,2018/3,531
30,2018/7,614
30,2019/11,653
30,2019/12,658
30,2019/6,674
30,2021/3,682
30,2021/6,843
30,2021/7,865
32,2014/10,88
32,2014/6,193
32,2015/6,285
32,2016/12,327
32,2016/3,543
32,2016/6,748
32,2016/7,772
32,2017/4,826
32,2017/5,895
32,2017/7,1012
32,2018/10,1057
32,2018/5,1069
32,2018/7,1180
32,2019/12,1292
32,2019/4,1346
32,2019/6,1494
32,2020/1,1521
32,2020/12,1539
32,2020/2,1559
32,2020/8,1713
32,2021/7,1852
33,2014/10,110
33,2017/12,123
33,2017/8,144
33,2019/12,327
33,2019/5,339
33,2019/6,530
33,2020/2,534
33,2020/6,536
34,2015/8,6
34,2017/5,32
34,2018/10,149
34,2018/7,244
34,2019/5,265
34,2019/6,494
34,2021/6,516
40,2015/12,11
40,2015/6,31
40,2016/12,304
40,2016/5,454
40,2017/10,720
40,2017/2,819
40,2017/4,1082
40,2017/7,1092
40,2017/9,1138
40,2018/1,1190
40,2018/12,1365
40,2018/8,1536
40,2019/10,1544
40,2019/12,1703
40,2019/4,1716
40,2019/6,1877
40,2019/7,1882
40,2019/8,2076
40,2020/11,2101
40,2020/12,2196
40,2020/2,2303
40,2020/6,2473
40,2020/8,2479
40,2020/9,2488
40,2021/10,2571
40,2021/4,2592
40,2021/6,2706
40,2021/8,2858
40,2022/4,3033
41,2014/12,160
41,2015/12,191
41,2015/6,308
41,2016/4,357
41,2016/5,386
41,2016/8,488
41,2017/1,537
41,2017/11,755
41,2017/12,1000
41,2017/3,1023
41,2017/6,1094
41,2017/7,1148
41,2018/1,1159
41,2018/6,1290
41,2018/7,1298
41,2018/8,1391
41,2018/9,1404
41,2019/1,1524
41,2019/10,1530
41,2019/11,1534
41,2019/2,1537
41,2019/3,1646
41,2019/6,1877
41,2019/7,1960
41,2019/8,1981
41,2019/9,2047
41,2020/11,2208
41,2020/2,2217
41,2020/5,2432
41,2020/7,2435
41,2020/9,2439
41,2021/1,2528
41,2021/10,2828
41,2021/4,2937
41,2021/6,3064
42,2014/5,26
42,2014/6,269
42,2016/10,349
42,2016/11,484
42,2016/5,504
42,2017/10,594
